,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
0,although,SCONJ,IN,0,1,-3.4601,-7.7901,1,
1,develop,VERB,VBG,9,2,-4.3009,-7.4891,1, 
2,country,NOUN,NNS,20,3,-3.8720,-5.1111,1, 
3,be,AUX,VBP,30,4,-2.4237,-5.4945,1, 
4,understandably,ADV,RB,34,5,-5.4009,-6.6598,1, 
5,reluctant,ADJ,JJ,49,6,-4.7998,-6.9450,1, 
6,to,PART,TO,59,7,-1.6934,-4.9472,1, 
7,compromise,VERB,VB,62,8,-4.7773,-5.7127,1, 
8,they,PRON,PRP$,73,9,-2.6853,-7.0120,1, 
9,chance,NOUN,NNS,79,10,-4.6184,-5.7567,1, 
10,of,SCONJ,IN,87,11,-1.6306,-4.9877,1, 
11,achieve,VERB,VBG,90,12,-4.8296,-5.4190,1, 
12,better,ADJ,JJR,100,13,-3.5500,-7.1880,1, 
13,standard,NOUN,NNS,107,14,-4.1102,-6.9450,1, 
14,of,SCONJ,IN,117,15,-1.6306,-4.8689,1, 
15,live,VERB,VBG,120,16,-3.8985,-4.8917,1, 
16,for,ADP,IN,127,17,-2.1680,-6.1227,1, 
17,the,DET,DT,131,18,-1.3096,-2.8765,1, 
18,poor,ADJ,JJ,135,19,-3.9279,-4.5648,1, 
19,",",PUNCT,",",139,20,-1.3899,-5.1093,1,
20,action,NOUN,NN,141,21,-3.7519,-6.0084,1, 
21,on,ADP,IN,148,22,-2.2425,-5.4144,1, 
22,climate,NOUN,NN,151,23,-4.6471,-6.1880,1, 
23,change,NOUN,NN,159,24,-3.5926,-5.7710,1, 
24,need,AUX,VBP,166,25,-3.3540,-7.3130,1, 
25,not,PART,RB,171,26,-2.4383,-4.8434,1, 
26,threaten,VERB,VB,175,27,-5.1442,-6.4784,1, 
27,economic,ADJ,JJ,184,28,-3.7231,-50,1, 
28,development,NOUN,NN,193,29,-3.5860,-5.1695,1, 
29,.,PUNCT,.,204,30,-1.4170,-4.6516,1,
30,incentive,NOUN,NNS,206,31,-5.0851,-50,2, 
31,must,AUX,MD,217,32,-3.2451,-50,2, 
32,be,AUX,VB,222,33,-2.2772,-3.7106,2, 
33,offer,VERB,VBN,225,34,-4.0722,-5.2018,2, 
34,to,PART,TO,233,35,-1.6934,-4.8980,2, 
35,encourage,VERB,VB,236,36,-4.3860,-4.6773,2, 
36,develop,VERB,VBG,246,37,-4.3009,-50,2, 
37,country,NOUN,NNS,257,38,-3.8720,-5.1111,2, 
38,to,PART,TO,267,39,-1.6934,-5.3802,2, 
39,go,VERB,VB,270,40,-3.1506,-3.6633,2, 
40,the,DET,DT,273,41,-1.3096,-5.5171,2, 
41,extra,ADJ,JJ,277,42,-4.1181,-4.9450,2, 
42,green,ADJ,JJ,283,43,-3.9389,-50,2, 
43,mile,NOUN,NN,289,44,-4.5928,-50,2, 
44,and,CCONJ,CC,294,45,-1.6736,-5.9739,2, 
45,implement,VERB,VB,298,46,-4.9016,-6.0618,2, 
46,clean,ADJ,JJ,308,47,-4.2931,-50,2, 
47,technology,NOUN,NNS,315,48,-4.9028,-7.4891,2,  
48,",",PUNCT,",",327,49,-1.3899,-5.8101,2,
49,and,CCONJ,CC,329,50,-1.6736,-2.4655,2, 
50,could,AUX,MD,333,51,-2.8866,-4.6772,2, 
51,also,ADV,RB,339,52,-2.9993,-5.0256,2, 
52,help,VERB,VB,344,53,-3.5237,-5.5385,2, 
53,minimise,VERB,VB,349,54,-5.3144,-7.7901,2, 
54,emission,NOUN,NNS,358,55,-4.9298,-50,2, 
55,from,ADP,IN,368,56,-2.4844,-5.8843,2, 
56,deforestation,NOUN,NN,373,57,-5.8216,-50,2, 
57,.,PUNCT,.,386,58,-1.4170,-6.8359,2,
58,some,DET,DT,388,59,-2.8676,-7.6140,3, 
59,of,ADP,IN,393,60,-1.6306,-3.6490,3, 
60,the,DET,DT,396,61,-1.3096,-2.2331,3, 
61,most,ADV,RBS,400,62,-3.1042,-3.5754,3, 
