,cur,id,lemma,pos,Prob1,Prob2,segId,space
0,0,1,अधिकतर,JJ,-50,-50,1,
1,7,2,शिकारी,NN,-50,-50,1, 
2,14,3,कर,VM,-50,-50,1, 
3,19,4,वाला,PSP,-50,-50,1, 
4,24,5,समाज,NN,-50,-50,1, 
5,29,6,nomadic,NN,-50,-50,1, 
6,37,7,हैं।,JJ,-50,-50,1, 
7,42,8,जीवनयानप,NN,-50,-50,2, 
8,51,9,का,PSP,-50,-50,2, 
9,54,10,ऐसी,DEM,-50,-50,2, 
10,58,11,प्रणाली,NN,-50,-50,2, 
11,66,12,में,PSP,-50,-50,2, 
12,70,13,निर्वाह,NN,-50,-50,2, 
13,78,14,कर,VM,-50,-50,2, 
14,83,15,कठिन,JJ,-50,-50,2, 
15,88,16,है,VM,-50,-50,2, 
16,91,17,क्योंकि,CC,-50,-50,2, 
17,99,18,एक,QC,-50,-50,2, 
18,102,19,क्षेत्र,NN,-50,-50,2, 
19,110,20,का,PSP,-50,-50,2, 
20,113,21,स्रोत,NN,-50,-50,2, 
21,119,22,जल्दी,RB,-50,-50,2, 
22,125,23,ही,RP,-50,-50,2, 
23,128,24,समाप्त,JJ,-50,-50,2, 
24,135,25,हो,VM,-50,-50,2, 
25,138,26,सक,VAUX,-50,-50,2, 
26,143,27,हैं।,NN,-50,-50,2, 
27,148,28,अपना,PRP,-50,-50,3, 
28,153,29,जीवनयापन,NN,-50,-50,3, 
29,162,30,का,PSP,-50,-50,3, 
30,165,31,प्रणाली,NN,-50,-50,3, 
31,173,32,का,PSP,-50,-50,3, 
32,176,33,कारण,NN,-50,-50,3, 
33,181,34,ही,RP,-50,-50,3, 
34,184,35,शिकारी,NN,-50,-50,3, 
35,191,36,कर,VM,-50,-50,3, 
36,196,37,वाला,PSP,-50,-50,3, 
37,201,38,समाज,NN,-50,-50,3, 
38,206,39,का,PSP,-50,-50,3, 
39,209,40,जनसंख्या,NN,-50,-50,3, 
40,218,41,घनत्व,NN,-50,-50,3, 
41,224,42,बहुत,INTF,-50,-50,3, 
42,229,43,कम,QF,-50,-50,3, 
43,232,44,है।,JJ,-50,-50,3, 
44,236,45,जीवनयापन,NN,-50,-50,4, 
45,245,46,का,PSP,-50,-50,4, 
46,248,47,ले,PSP,-50,-50,4, 
47,252,48,खेती,NN,-50,-50,4, 
48,257,49,का,PSP,-50,-50,4, 
49,260,50,योग्य,JJ,-50,-50,4, 
50,266,51,भूमि,NN,-50,-50,4, 
51,270,52,",",SYM,-50,-50,4,
52,272,53,बंजर,JJ,-50,-50,4, 
53,277,54,भूमि,NN,-50,-50,4, 
54,282,55,का,PSP,-50,-50,4, 
55,285,56,बजा,PSP:?,-50,-50,4, 
56,290,57,जनसंख्या,NN,-50,-50,4, 
57,299,58,घनत्व,NN,-50,-50,4, 
58,305,59,हेतु,PSP,-50,-50,4, 
59,310,60,60,QC,-50,-50,4, 
60,313,61,से,PSP,-50,-50,4, 
61,316,62,100,QC,-50,-50,4, 
62,320,63,गुणा,NN,-50,-50,4, 
