,cur,id,lemma,pos,Prob1,Prob2,segId,space
0,0,1,खूनी,JJ,-50,-50,1,
1,5,2,नर्स,NN,-50,-50,1, 
2,10,3,को,PSP,-50,-50,1, 
3,13,4,चार,QC,-50,-50,1, 
4,17,5,हत्या,NN,-50,-50,1, 
5,25,6,का,PSP,-50,-50,1, 
6,28,7,सज़ा,NN,-50,-50,1, 
7,33,8,मिल,VM,-50,-50,1, 
8,39,9,अस्पलात,NN,-50,-50,2," 
"
9,47,10,का,PSP,-50,-50,2, 
10,50,11,नर्स,NN,-50,-50,2, 
11,55,12,को,PSP,-50,-50,2, 
12,58,13,अपना,PRP,-50,-50,2, 
13,63,14,चार,QC,-50,-50,2, 
14,67,15,मरीज़ों,NN,-50,-50,2, 
15,75,16,का,PSP,-50,-50,2, 
16,78,17,हत्या,NN,-50,-50,2, 
17,84,18,का,PSP,-50,-50,2, 
18,87,19,जुर्म,NN,-50,-50,2, 
19,93,20,में,PSP,-50,-50,2, 
20,97,21,आजीवन,JJ,-50,-50,2, 
21,103,22,कारावास,NN,-50,-50,2, 
22,111,23,का,PSP,-50,-50,2, 
23,114,24,सजा,NN,-50,-50,2, 
24,118,25,दे,VM,-50,-50,2, 
25,121,26,गई,VAUX,-50,-50,2, 
26,124,27,थी।,NN,-50,-50,2, 
27,128,28,32,QC,-50,-50,3, 
28,131,29,वर्षीय,JJ,-50,-50,3, 
29,138,30,ग्लास्गो,NN,-50,-50,3, 
30,147,31,का,PSP,-50,-50,3, 
31,150,32,नर्स,NN,-50,-50,3, 
32,155,33,ने,PSP,-50,-50,3, 
33,158,34,सन्,XC,-50,-50,3, 
34,162,35,2002,QC,-50,-50,3, 
35,167,36,में,PSP,-50,-50,3, 
36,171,37,चार,QC,-50,-50,3, 
37,175,38,औरत,NN,-50,-50,3, 
38,181,39,को,PSP,-50,-50,3, 
39,184,40,अधिक,QF,-50,-50,3, 
40,189,41,मात्रा,NN,-50,-50,3, 
41,196,42,में,PSP,-50,-50,3, 
42,200,43,नींद,NN,-50,-50,3, 
43,205,44,का,PSP,-50,-50,3, 
44,208,45,दवाई,NN,-50,-50,3, 
45,213,46,दे,VM,-50,-50,3, 
46,218,47,उनकी,PRP,-50,-50,3, 
47,223,48,हत्या,NN,-50,-50,3, 
48,229,49,की।,JJ,-50,-50,3, 
49,233,50,उसे,PRP,-50,-50,4, 
50,237,51,कल,NN,-50,-50,4, 
51,240,52,एक,QC,-50,-50,4, 
52,243,53,लंबी,JJ,-50,-50,4, 
53,248,54,कार्यवाही,NN,-50,-50,4, 
54,258,55,का,PSP,-50,-50,4, 
55,261,56,बाद,NST,-50,-50,4, 
56,265,57,चार,QC,-50,-50,4, 
57,269,58,हत्या,NN,-50,-50,4, 
58,277,59,का,PSP,-50,-50,4, 
59,280,60,दोषी,VM,-50,-50,4, 
60,285,61,पा,VAUX,-50,-50,4, 
61,290,62,गया।,JJ,-50,-50,4, 
62,295,63,उसे,PRP,-50,-50,5, 
63,299,64,चार,QC,-50,-50,5, 
64,303,65,हत्या,NN,-50,-50,5, 
65,311,66,का,PSP,-50,-50,5, 
66,314,67,ले,PSP,-50,-50,5, 
67,318,68,सज़ा,NN,-50,-50,5, 
68,323,69,दे,VM,-50,-50,5, 
69,326,70,गई,VAUX,-50,-50,5, 
70,328,71,",",SYM,-50,-50,5,
71,330,72,प्रत्येक,QF,-50,-50,5, 
72,339,73,हत्या,NN,-50,-50,5, 
73,345,74,का,PSP,-50,-50,5, 
74,348,75,ले,PSP,-50,-50,5, 
75,352,76,अलग,JJ,-50,-50,5, 
76,356,77,से,PSP,-50,-50,5, 
77,359,78,सजा,NN,-50,-50,5, 
78,363,79,दे,VM,-50,-50,5, 
79,366,80,गई।,NN,-50,-50,5, 
80,370,81,उसे,PRP,-50,-50,6, 
81,374,82,कम,QF,-50,-50,6, 
82,377,83,से,PSP,-50,-50,6, 
83,380,84,कम,QF,-50,-50,6, 
84,383,85,30,QC,-50,-50,6, 
85,386,86,वर्ष,NN,-50,-50,6, 
86,393,87,तक,RP,-50,-50,6, 
87,396,88,यह,DEM,-50,-50,6, 
88,399,89,सज़ा,NN,-50,-50,6, 
89,404,90,काट,VM,-50,-50,6, 
90,410,91,होगी।,JJ,-50,-50,6, 
91,416,92,पुलिस,NN,-50,-50,7, 
92,422,93,अधिकारी,JJ,-50,-50,7, 
93,430,94,क्रिस,XC,-50,-50,7, 
94,436,95,ग्रेग,NNP,-50,-50,7, 
95,442,96,ने,PSP,-50,-50,7, 
96,445,97,कह,VM,-50,-50,7, 
97,449,98,कि,CC,-50,-50,7, 
98,452,99,इस,DEM,-50,-50,7, 
99,455,100,अस्पताल,NN,-50,-50,7, 
100,463,101,में,PSP,-50,-50,7, 
101,467,102,इस,DEM,-50,-50,7, 
102,470,103,नर्स,NN,-50,-50,7, 
103,475,104,का,PSP,-50,-50,7, 
104,478,105,गतिविधि,NN,-50,-50,7, 
105,486,106,संदिग्ध,JJ,-50,-50,7, 
106,494,107,थी।,NN,-50,-50,7, 
107,498,108,यह,DEM,-50,-50,8, 
108,501,109,अस्पताल,NN,-50,-50,8, 
109,509,110,का,PSP,-50,-50,8, 
110,512,111,स्टाफ,NN,-50,-50,8, 
111,518,112,का,PSP,-50,-50,8, 
112,521,113,जागरूकता,NN,-50,-50,8, 
113,530,114,ही,RP,-50,-50,8, 
114,533,115,है,VM,-50,-50,8, 
115,536,116,कि,CC,-50,-50,8, 
116,539,117,इसे,PRP,-50,-50,8, 
117,543,118,पकड़ा,VM,-50,-50,8, 
118,549,119,जा,VAUX,-50,-50,8, 
119,552,120,सका।,JJ,-50,-50,8, 
120,557,121,पुलिस,NN,-50,-50,9, 
121,563,122,को,PSP,-50,-50,9, 
122,566,123,यह,PRP,-50,-50,9, 
123,569,124,पता,JJ,-50,-50,9, 
124,573,125,चला,VM,-50,-50,9, 
125,577,126,है,VAUX,-50,-50,9, 
126,580,127,कि,CC,-50,-50,9, 
127,583,128,इस,DEM,-50,-50,9, 
128,586,129,हत्या,NN,-50,-50,9, 
129,592,130,का,PSP,-50,-50,9, 
130,595,131,उद्देश्य,NN,-50,-50,9, 
131,604,132,यह,PRP,-50,-50,9, 
132,607,133,था,VM,-50,-50,9, 
133,610,134,कि,CC,-50,-50,9, 
134,613,135,नोरिस,NN,-50,-50,9, 
135,619,136,को,PSP,-50,-50,9, 
136,622,137,बुजुर्ग,JJ,-50,-50,9, 
137,630,138,व्यक्ति,NN,-50,-50,9, 
138,641,139,का,PSP,-50,-50,9, 
139,644,140,साथ,NST,-50,-50,9, 
140,648,141,काम,NN,-50,-50,9, 
141,652,142,कर,VM,-50,-50,9, 
142,657,143,पसंद,NN,-50,-50,9, 
143,662,144,नहीं,NEG,-50,-50,9, 
144,667,145,था।,NN,-50,-50,9, 
145,671,146,इसके,PRP,-50,-50,10, 
146,676,147,सभी,QF,-50,-50,10, 
147,680,148,शिकार,NN,-50,-50,10, 
148,686,149,बुजुर्ग,JJ,-50,-50,10, 
149,694,150,कमज़ोर,JJ,-50,-50,10, 
150,701,151,महिला,NN,-50,-50,10, 
151,709,152,थीं।,JJ,-50,-50,10, 
152,714,153,इन,DEM,-50,-50,11, 
153,717,154,सभी,QF,-50,-50,11, 
