,cur,id,lemma,pos,segId,space
0,0,1,खूनी,JJ,1,
1,5,2,नर्स,NN,1, 
2,10,3,को,PSP,1, 
3,13,4,चार,QC,1, 
4,17,5,आजीवन,JJ,1, 
5,23,6,कारावास,NN,1, 
6,31,7,का,PSP,1, 
7,34,8,सजा,NN,1, 
8,39,9,नर्स,NN,2," 
"
9,44,10,कॉलिन,XC,2, 
10,50,11,नोरिस,NN,2, 
11,56,12,को,PSP,2, 
12,59,13,अपना,PRP,2, 
13,64,14,अस्पताल,NN,2, 
14,72,15,का,PSP,2, 
15,75,16,चार,QC,2, 
16,79,17,मरीज,NN,2, 
17,86,18,का,PSP,2, 
18,89,19,हत्या,NN,2, 
19,95,20,का,PSP,2, 
20,98,21,ले,PSP,2, 
21,102,22,आजीवन,JJ,2, 
22,108,23,कारावास,NN,2, 
23,116,24,का,PSP,2, 
24,119,25,ले,PSP,2, 
25,123,26,आज,NN,2, 
26,126,27,जेल,NN,2, 
27,130,28,भेज,VM,2, 
28,134,29,दे,VAUX,2, 
29,139,30,गया।,JJ,2, 
30,144,31,ग्लासगो,NN,3, 
31,152,32,निवासी,NN,3, 
32,159,33,32,QC,3, 
33,162,34,वर्षीय,JJ,3, 
34,169,35,नॉरिस,NN,3, 
35,175,36,ने,PSP,3, 
36,178,37,वर्ष,NN,3, 
37,183,38,2002,QC,3, 
38,188,39,में,PSP,3, 
39,192,40,अस्पताल,NN,3, 
40,200,41,का,PSP,3, 
41,203,42,चार,QC,3, 
42,207,43,महिला,NN,3, 
43,213,44,मरीज,NN,3, 
44,220,45,को,PSP,3, 
45,223,46,अत्यधिक,JJ,3, 
46,231,47,मात्रा,NN,3, 
47,238,48,में,PSP,3, 
48,242,49,नींद,NN,3, 
49,247,50,का,PSP,3, 
50,250,51,दे,VM,3, 
51,255,52,हत्या,NN,3, 
52,261,53,कर,VM,3, 
53,264,54,दे,VAUX,3, 
54,267,55,थी।,JJ,3, 
55,271,56,एक,QC,4, 
56,274,57,लंबा,JJ,4, 
57,279,58,परीक्षण,NN,4, 
58,287,59,का,PSP,4, 
59,290,60,बाद,NST,4, 
60,294,61,हत्या,NN,4, 
61,300,62,का,PSP,4, 
62,303,63,चार,QC,4, 
63,307,64,मामला,NN,4, 
64,314,65,में,PSP,4, 
65,318,66,कल,NN,4, 
66,321,67,उसको,PRP,4, 
67,326,68,दोषी,JJ,4, 
68,331,69,पा,VM,4, 
69,336,70,गया।,JJ,4, 
70,341,71,नोरिस,NN,5, 
71,347,72,को,PSP,5, 
72,350,73,चार,QC,5, 
73,354,74,अलग,JJ,5, 
74,357,75,-,SYM,5,
75,358,76,अलग,RDP,5,
76,362,77,हत्या,NN,5, 
77,370,78,का,PSP,5, 
78,373,79,ले,PSP,5, 
79,377,80,चार,QC,5, 
80,381,81,आजीवन,JJ,5, 
81,387,82,कारावास,NN,5, 
82,395,83,का,PSP,5, 
83,398,84,सजा,NN,5, 
84,402,85,सुना,VM,5, 
85,408,86,गई,VAUX,5, 
86,410,87,",",SYM,5,
87,412,88,जो,PRP,6, 
88,418,89,ले,PSP,6, 
89,422,90,उसे,PRP,6, 
90,426,91,कम,QF,6, 
91,429,92,से,PSP,6, 
92,432,93,कम,QF,6, 
93,435,94,30,QC,6, 
94,438,95,वर्ष,NN,6, 
95,445,96,तक,RP,6, 
96,448,97,अपना,PRP,6, 
97,453,98,जीवन,NN,6, 
98,458,99,सेवा,NN,6, 
99,463,100,में,PSP,6, 
100,467,101,दे,VM,6, 
101,472,102,होगा।,JJ,6, 
102,478,103,पुलिस,NN,7, 
103,484,104,अधिकारी,JJ,7, 
104,492,105,क्रिस,XC,7, 
105,498,106,ग्रेग,NNP,7, 
106,504,107,ने,PSP,7, 
107,507,108,बता,VM,7, 
108,513,109,कि,CC,7, 
109,516,110,नोरिस,NN,7, 
110,522,111,अस्पताल,NN,7, 
111,530,112,का,PSP,7, 
112,533,113,आसपास,NST,7, 
113,539,114,बड़े,NNP,7, 
114,544,115,ही,RP,7, 
115,547,116,अजीबोगरीब,JJ,7, 
116,557,117,ढंग,NN,7, 
117,561,118,से,PSP,7, 
118,564,119,इस,DEM,7, 
119,567,120,काम,NN,7, 
120,571,121,को,PSP,7, 
121,574,122,अंजाम,NN,7, 
122,580,123,दे,VM,7, 
123,583,124,रह,VAUX,7, 
124,587,125,थी।,JJ,7, 
125,591,126,अस्पताल,NN,8, 
126,599,127,का,PSP,8, 
127,602,128,अन्य,JJ,8, 
128,607,129,कर्मचारी,NN,8, 
129,619,130,का,PSP,8, 
130,622,131,जागरूकता,NN,8, 
131,631,132,से,PSP,8, 
132,634,133,उसे,PRP,8, 
133,638,134,हत्या,NN,8, 
134,646,135,का,PSP,8, 
135,649,136,ले,PSP,8, 
136,653,137,रोक,VM,8, 
137,658,138,जा,VAUX,8, 
138,661,139,सका।,JJ,8, 
139,666,140,खोजबीन,NN,9, 
140,673,141,का,PSP,9, 
141,676,142,बाद,NST,9, 
142,680,143,पुलिस,NN,9, 
143,686,144,ने,PSP,9, 
144,689,145,पा,VM,9, 
145,694,146,कि,CC,9, 
146,697,147,नोरिस,NN,9, 
147,703,148,बुजुर्ग,JJ,9, 
148,711,149,लोग,NN,9, 
149,717,150,का,PSP,9, 
150,720,151,साथ,NST,9, 
151,724,152,काम,NN,9, 
152,728,153,कर,VM,9, 
153,733,154,नापसंद,NN,9, 
154,740,155,कर,VM,9, 
155,745,156,था,VAUX,9, 
156,747,157,",",SYM,9,
157,749,158,जो,PRP,9, 
158,752,159,उनकी,PRP,9, 
159,757,160,हत्या,NN,9, 
160,765,161,का,PSP,9, 
161,768,162,मुख्य,JJ,9, 
162,774,163,वजह,NN,9, 
163,778,164,थी।,JJ,9, 
164,782,165,नोरिस,NN,10, 
165,788,166,का,PSP,10, 
166,791,167,शिकार,NN,10, 
167,797,168,सभी,QF,10, 
168,801,169,मरीज,NN,10, 
169,806,170,बूजुर्ग,NN,10, 
170,814,171,और,CC,10, 
171,817,172,दिल,NN,10, 
172,821,173,का,PSP,10, 
173,824,174,बीमारी,NN,10, 
174,831,175,से,PSP,10, 
175,834,176,ग्रस्त,JJ,10, 
176,841,177,था,VM,10, 
177,843,178,",",SYM,10,
178,845,179,जो,PRP,11, 
179,853,180,अस्पताल,NN,11, 
180,861,181,का,PSP,11, 
181,864,182,कर्मचारी,NN,11, 
182,876,183,का,PSP,11, 
183,879,184,ले,PSP,11, 
184,883,185,एक,QC,11, 
185,886,186,बोझ,NN,11, 
186,890,187,मान,VM,11, 
187,895,188,जा,VAUX,11, 
188,898,189,सक,VAUX,11, 
189,903,190,था।,JJ,11, 
