,lemma,upos,pos,cur,id,Prob1,Prob2,segId,space
0,killer,ADJ,JJ,0,1,-4.9463,-50,1,
1,nurse,NOUN,NN,7,2,-4.5801,-7.7901,1, 
2,receive,VERB,VBZ,13,3,-4.9795,-50,1, 
3,four,NUM,CD,22,4,-3.4339,-50,1, 
4,life,NOUN,NN,27,5,-3.3508,-50,1, 
5,sentence,NOUN,NNS,32,6,-4.6400,-6.1669,1, 
6,Hospital,NOUN,NN,42,7,-3.9191,-50,2,"
"
7,nurse,NOUN,NN,51,8,-4.5801,-7.3922,2, 
8,Colin,PROPN,NNP,57,9,-4.7000,-50,2, 
9,Norris,PROPN,NNP,63,10,-5.6409,-50,2, 
10,be,AUX,VBD,70,11,-2.1449,-7.2460,2, 
11,imprison,VERB,VBN,74,12,-5.1715,-6.0304,2, 
12,for,ADP,IN,85,13,-2.1680,-5.9772,2, 
13,life,NOUN,NN,89,14,-3.3508,-5.0130,2, 
14,today,NOUN,NN,94,15,-3.6786,-6.7487,2, 
15,for,ADP,IN,100,16,-2.1680,-5.8240,2, 
16,the,DET,DT,104,17,-1.3096,-2.8765,2, 
17,killing,NOUN,NN,108,18,-4.6153,-5.3174,2, 
18,of,ADP,IN,116,19,-1.6306,-5.4945,2, 
19,four,NUM,CD,119,20,-3.4339,-4.7403,2, 
20,of,ADP,IN,124,21,-1.6306,-4.9729,2, 
21,he,PRON,PRP$,127,22,-2.4785,-3.4662,2, 
22,patient,NOUN,NNS,131,23,-3.8532,-6.0537,2, 
23,.,PUNCT,.,139,24,-1.4170,-4.9223,2,
24,32,NUM,CD,141,25,-4.8040,-50,3, 
25,year,NOUN,NN,144,26,-3.2268,-7.0497,3, 
26,old,ADJ,JJ,149,27,-3.3711,-4.7884,3, 
27,Norris,PROPN,NNP,153,28,-5.6409,-50,3, 
28,from,ADP,IN,160,29,-2.4844,-50,3, 
29,Glasgow,PROPN,NNP,165,30,-4.4673,-5.8952,3, 
30,kill,VERB,VBD,173,31,-4.1621,-50,3, 
31,the,DET,DT,180,32,-1.3096,-5.6534,3, 
32,four,NUM,CD,184,33,-3.4339,-4.5434,3, 
33,woman,NOUN,NNS,189,34,-3.5086,-6.1669,3, 
34,in,ADP,IN,195,35,-1.8251,-4.7702,3, 
35,2002,NUM,CD,198,36,-6.5471,-7.1880,3, 
36,by,SCONJ,IN,203,37,-2.3879,-50,3, 
37,give,VERB,VBG,206,38,-3.9972,-5.2612,3, 
38,they,PRON,PRP,213,39,-2.8674,-5.3524,3, 
39,large,ADJ,JJ,218,40,-3.5721,-7.0120,3, 
40,amount,NOUN,NNS,224,41,-4.6145,-5.5125,3, 
41,of,ADP,IN,232,42,-1.6306,-4.9435,3, 
42,sleep,VERB,VBG,235,43,-4.7002,-6.1617,3, 
