,cur,id,lemma,pos,space,Prob1,Prob2,segId
0,2,1,स्पिल्बर्ग,NN,"

",-50,-50,1
1,13,2,ने,PSP, ,-50,-50,1
2,16,3,दार्फुर,NN, ,-50,-50,1
3,24,4,में,PSP, ,-50,-50,1
4,28,5,बीजिंग,NN, ,-50,-50,1
5,35,6,को,PSP, ,-50,-50,1
6,38,7,लाल,JJ, ,-50,-50,1
7,42,8,कार्ड,NN, ,-50,-50,1
8,48,9,दिखा,VM, ,-50,-50,1
9,56,10,चीनी,XC,"

",-50,-50,2
10,61,11,सरकार,NNP, ,-50,-50,2
11,67,12,को,PSP, ,-50,-50,2
12,70,13,कड़ा,XC, ,-50,-50,2
13,75,14,संदेश,NN, ,-50,-50,2
14,81,15,दे,VM, ,-50,-50,2
15,86,16,कि,CC, ,-50,-50,2
16,89,17,ले,PSP, ,-50,-50,2
17,93,18,जान,VM, ,-50,-50,2
18,98,19,मान,JJ, ,-50,-50,2
19,103,20,फिल्मकार,NN, ,-50,-50,2
20,112,21,स्टीवन,XC, ,-50,-50,2
21,119,22,स्पीलबर्ग,NNP, ,-50,-50,2
22,129,23,ने,PSP, ,-50,-50,2
23,132,24,बीजिंग,XC, ,-50,-50,2
24,139,25,ओलंपिक,NNP, ,-50,-50,2
25,146,26,में,PSP, ,-50,-50,2
26,150,27,विरोध,NN, ,-50,-50,2
27,156,28,का,PSP, ,-50,-50,2
28,159,29,नया,JJ, ,-50,-50,2
29,163,30,तरीका,NN, ,-50,-50,2
30,169,31,निकाल,VM, ,-50,-50,2
31,175,32,,NN,,-50,-50,2
32,179,33,उन्होंने,PRP,,-50,-50,2
33,188,34,चीन,NNP, ,-50,-50,2
34,192,35,का,PSP, ,-50,-50,2
35,195,36,सूडान,NN, ,-50,-50,2
36,201,37,पालिसी,NN, ,-50,-50,2
37,208,38,का,PSP, ,-50,-50,2
38,211,39,विरोध,NN, ,-50,-50,2
39,217,40,कर,VM, ,-50,-50,2
40,221,41,,NN,,-50,-50,2
41,225,42,उनका,PRP, ,-50,-50,3
42,230,43,यह,DEM, ,-50,-50,3
43,233,44,कदम,NN, ,-50,-50,3
44,237,45,चीन,NNP, ,-50,-50,3
45,241,46,को,PSP, ,-50,-50,3
46,244,47,परेशान,JJ, ,-50,-50,3
47,251,48,कर,VM, ,-50,-50,3
48,256,49,वाला,PSP, ,-50,-50,3
49,261,50,है,VM, ,-50,-50,3
50,263,51,,JJ,,-50,-50,3
51,267,52,तेल,NN,,-50,-50,3
52,271,53,उद्योग,NN, ,-50,-50,3
53,278,54,में,PSP, ,-50,-50,3
54,282,55,पूँजी,JJ, ,-50,-50,3
55,288,56,निवेश,NN, ,-50,-50,3
56,294,57,का,PSP, ,-50,-50,3
57,297,58,मामला,NN, ,-50,-50,3
58,303,59,में,PSP, ,-50,-50,3
59,307,60,सूडान,NN, ,-50,-50,3
60,313,61,सरकार,NN, ,-50,-50,3
61,319,62,ने,PSP, ,-50,-50,3
62,322,63,चीन,NNP, ,-50,-50,3
63,326,64,को,PSP, ,-50,-50,3
