segment_id,src_text,tgt_text,fin_text,participant,task_id,task_type,task_number,mt_system,segment_count,bleu_score,ter_score,chrf_score,latest_google_trans,latest_bleu_score
1,Spielberg shows Beijing red card over Darfur,स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है,स्पीलबर्ग ने दारफुर के खिलाफ बीजिंग को लाल कार्ड दिखाया,P01,P3,P,3,google,5,9.425159511373677,80.0,45.663697005592006,स्पीलबर्ग ने दारफुर पर बीजिंग को लाल कार्ड दिखाया,53.417359568998464
1,Spielberg shows Beijing red card over Darfur,स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है,स्पीलबर्ग ने दारफुर पर बीज़िंग का रेड कार्ड दिखाया,P04,P3,P,3,google,5,4.9323515694897075,100.0,38.39648762277946,स्पीलबर्ग ने दारफुर पर बीजिंग को लाल कार्ड दिखाया,35.49481056010054
1,Spielberg shows Beijing red card over Darfur,स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है,दारफुर मसले पर स्पीलबर्ग ने बीझिंग को लाल कार्ड दिखाया,P10,P3,P,3,google,5,8.913765521398126,90.0,43.31017891494213,स्पीलबर्ग ने दारफुर पर बीजिंग को लाल कार्ड दिखाया,34.13065354365521
1,Spielberg shows Beijing red card over Darfur,स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है,"स्पीलबर्ग, दारफुर पर बीजिंग लाल कार्ड दिखाता है",P11,P3,P,3,google,5,16.59038701421971,75.0,60.44043043475852,स्पीलबर्ग ने दारफुर पर बीजिंग को लाल कार्ड दिखाया,23.356898886410015
1,Spielberg shows Beijing red card over Darfur,स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है,दारफुर पर स्पीलबर्ग ने दिखाया बीजिंग को लाल कार्ड,P15,P3,P,3,google,5,9.425159511373677,100.0,50.22895765445483,स्पीलबर्ग ने दारफुर पर बीजिंग को लाल कार्ड दिखाया,41.535092372063986
1,Spielberg shows Beijing red card over Darfur,स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है,स्पीलबर्ग बीजिंग रेड कार्ड के संबंध में दकरफुर के बारे में कहते हैं,P17,P3,P,3,google,5,4.11236251403474,92.3076923076923,31.30738540545412,स्पीलबर्ग ने दारफुर पर बीजिंग को लाल कार्ड दिखाया,4.023185929567685
1,Spielberg shows Beijing red card over Darfur,स्पीलबर्ग दारफुर से अधिक बीजिंग लाल कार्ड से पता चलता है,स्पीलबर्ग ने बता दिया कि दारफुर बीजिंग रेड कार्ड से अधिक महत्वपूर्ण है,P21,P3,P,3,google,5,10.165191946199384,61.53846153846154,42.117624991757424,स्पीलबर्ग ने दारफुर पर बीजिंग को लाल कार्ड दिखाया,7.687847996206941
2,"In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur.","एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध.","चीनी सरकार को प्रतीकात्मक विरोध दर्ज कराने के लिए, डारफुर में सूडान की नीति को चीनी समर्थन के खिलाफ विरोध जताते हुए, स्टीवन स्पीलबर्ग ने बीजिंग ओलंपिक से स्वयं को अलग कर लिया.",P01,P3,P,3,google,5,14.505229116200638,81.81818181818183,44.5698404297321,"चीनी सरकार को चकनाचूर करने के लिए, स्टीवन स्पीलबर्ग ने दारफुर में सूडान की नीति के लिए चीन के समर्थन के विरोध में बीजिंग ओलंपिक से हाथ खींच लिया।",22.04636984791681
2,"In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur.","एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध.","चीनी सरकार को रोकने का एक संकेत के रूप में, स्टीवन स्पीलबर्ग ने Darfur में सुडान की नीतियों हेतु चीन के समर्थन के प्रति अपना विद्रोह जताते हुए बीजिंग ओलंपिक से अपनी प्रतिभागिता वापस ले ली।",P04,P3,P,3,google,5,12.309407948148294,75.0,38.64447784115146,"चीनी सरकार को चकनाचूर करने के लिए, स्टीवन स्पीलबर्ग ने दारफुर में सूडान की नीति के लिए चीन के समर्थन के विरोध में बीजिंग ओलंपिक से हाथ खींच लिया।",18.956920843464726
2,"In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur.","एक इशारा यकीन है कि चीनी सरकार खड़खड़ में, स्टीवन स्पीलबर्ग बीजिंग ओलंपिक से बाहर खींच लिया Darfur में चीन सूडान पॉलिसी के लिए समर्थन के खिलाफ विरोध.",दारफूर मसले पर सूडानी नीति के लिए चीनी सरकार की लामबंदी के विरोध में प्रदर्शन करने के कारण स्टीवन स्पीलबर्ग को बीझिंग ओलंपिक से बाहर कर दिया गया है।,P10,P3,P,3,google,5,8.218074077265651,82.75862068965517,40.87349415534212,"चीनी सरकार को चकनाचूर करने के लिए, स्टीवन स्पीलबर्ग ने दारफुर में सूडान की नीति के लिए चीन के समर्थन के विरोध में बीजिंग ओलंपिक से हाथ खींच लिया।",11.81115123351511
