participant,segment_count,tasks_performed,P,T,no_of_tasks,P_avg_words_per_sec,T_avg_words_per_sec,P_avg_time_per_word,T_avg_time_per_word
P01,39,"['P5', 'T2', 'T1', 'P3', 'P4', 'P6']",4,2,6,0.12953129486396495,0.24443871411380438,7.880288172948566,4.356311274509804
P02,39,"['P6', 'P1', 'T4', 'P5', 'T3', 'P2']",4,2,6,0.20557855695763977,0.07767979930279588,4.921381938566793,13.006413449564135
P03,5,['P4'],1,0,1,0.12141280353200883,,8.236363636363636,
P04,39,"['T1', 'T2', 'P5', 'P6', 'P4', 'P3']",4,2,6,0.12531200158368602,0.1482306426220123,8.379772570486576,6.7691993464052285
P05,32,"['P5', 'T3', 'P1', 'P2', 'T4']",3,2,5,0.15974367650539392,0.06717177059691129,6.608225380479929,15.262204234122043
P06,25,"['T6', 'T5', 'P4', 'P2']",2,2,4,0.24138700359315188,0.2344717899577296,4.275074272133096,4.280575539568345
P07,34,"['T3', 'P6', 'T1', 'P5', 'P2']",3,2,5,0.10943057821579956,0.06535323009871064,9.562608736540179,15.305522260273973
P08,30,"['P6', 'T5', 'T3', 'P4', 'P2']",3,2,5,0.07816877624196032,0.060058783784255894,13.134500599164161,16.941904011037746
P09,34,"['P4', 'T5', 'P6', 'P2', 'T1']",3,2,5,0.08395775099381077,0.04993856544124998,12.210471622701839,20.709285071942446
P10,39,"['P5', 'P3', 'P1', 'P6', 'T4', 'T2']",4,2,6,0.07251108186135583,0.09296691960963971,14.188428384005125,14.37260843731432
P11,23,"['T6', 'P3', 'T4', 'P5']",2,2,4,0.12413675020696921,0.09259968690176268,8.127550014782695,10.97128842380641
P12,14,"['T2', 'T6']",0,2,2,,0.19276717342630173,,5.3194385667936235
P13,21,"['T1', 'T3', 'P2']",1,2,3,0.16416309012875535,0.18621473611965056,6.091503267973856,5.5750428082191785
P14,25,"['P2', 'P4', 'T5', 'P6']",3,1,4,0.14070472448747923,0.12214411247803164,7.757194315848569,8.18705035971223
P15,39,"['P2', 'P6', 'P4', 'T1', 'P3', 'T5']",4,2,6,0.1596247949526447,0.1674293526163366,6.3046140320181046,6.277810251798561
P16,27,"['T2', 'P5', 'P1', 'T4']",2,2,4,0.11599727154120423,0.061584927732187,9.458565647482015,16.54123588829471
P17,39,"['P5', 'P3', 'P2', 'T4', 'P1', 'T6']",4,2,6,0.11682147322227046,0.08681326535474342,8.881386579898047,11.915958142576848
P18,29,"['T6', 'T2', 'P1', 'P5']",2,2,4,0.25058364011852385,0.1918912415784408,4.01546762589928,5.7374100719424455
P19,39,"['T6', 'P2', 'P1', 'P4', 'P5', 'T3']",4,2,6,0.16301784400703254,0.0960564059886399,6.251616100167993,10.868852862915148
P20,39,"['P3', 'P4', 'P6', 'T5', 'T2', 'P1']",4,2,6,0.20437949421515658,0.2050801822593053,4.956256467428797,4.8887713358724785
P21,39,"['P5', 'P3', 'T4', 'P2', 'T1', 'P6']",4,2,6,0.19255542501804296,0.19111803023474946,5.193597257568643,5.83125
