,source,target,final,participant,task_number,segment_count,task_type
0,"The majority of hunter-gatherer societies are nomadic. It is difficult to be settled under such a subsistence system as the resources of one region can quickly become exhausted. Hunter-gatherer societies also tend to have very low population densities as a result of their subsistence system. Agricultural subsistence systems can support population densities 60 to 100 times greater than land left uncultivated, resulting in denser populations. Hunter-gatherer societies also tend to have non-hierarchical social structures, though this is not always the case. Because hunter-gatherers tend to be nomadic, they generally do not have the possibility to store surplus food. As a result, full-time leaders, bureaucrats, or artisans are rarely supported by hunter-gatherer societies.",,"अधिकांश हंटर-गैथरर सोसाइटी नोमैडिक होती हैं। किसी ऐसे सबसिस्टेंस सिस्टम के अंतर्गत निहित होना कठिन होता है क्यों एक क्षेत्र के संसाधन त्वरित रूप से नष्ट हो सकते हैं। हंटर-गैदरर सोसाइटी अपने सबसिस्टेंस सिस्टम के परिणामस्वरूप बहुत कम जनसंख्या आँकड़ों के लिए भी प्रयास करती हैं। कृषि संबंधी सबसिस्टेंस सिस्टम शेष बची बंजर भूमि की तुलना में 60 से 100 गुणा अधिक जनसंख्या आंकड़ों का समर्थन कर सकती हैं। हंटर-गैदरर सोसाइटी गैर-पदानुक्रमिक सामाजिक संरचनाओं के लिए भी प्रयास करती हैं, हालाँकि हमेशा यह मामला नहीं होता है। चूँकि हंटर-गैदरर नोमैडिक होने का प्रयास करती हैं, इसलिए सामान्य रूप से उनकी बहुत अतिरिक्त भोजन संग्रहीत करने की संभावना नहीं होती है। परिणामस्वरूप, पूर्ण-कालिक अग्रणी, ब्यूरोक्रैट या आर्टिसैन यदा-कदा ही हंटर-गैदरर सोसाइटी द्वारा समर्थित होते हैं।",P06,T6,7,T
1,"Killer nurse receives four life sentences
Hospital nurse Colin Norris was imprisoned for life today for the killing of four of his patients. 32 year old Norris from Glasgow killed the four women in 2002 by giving them large amounts of sleeping medicine. Yesterday, he was found guilty of four counts of murder following a long trial. He was given four life sentences, one for each of the killings. He will have to serve at least 30 years. Police officer Chris Gregg said that Norris had been acting strangely around the hospital. Only the awareness of other hospital staff put a stop to him and to the killings. The police have learned that the motive for the killings was that Norris disliked working with old people. All of his victims were old weak women with heart problems. All of them could be considered a burden to hospital staff.",,"खूनी नर्स को चार हत्याओं की सज़ा मिली 
अस्पलात की नर्स को अपने चार मरीज़ों की हत्या के जुर्म में आजीवन कारावास की सजा दी गई थी। 32 वर्षीय ग्लास्गो की नर्स ने सन् 2002 में चार औरतों को अधिक मात्रा में नींद की दवाई देकर उनकी हत्या की। उसे कल एक लंबी कार्यवाही के बाद चार हत्याओं का दोषी पाया गया। उसे चार हत्याओं के लिए सज़ा दी गई, प्रत्येक हत्या के लिए अलग से सजा दी गई। उसे कम से कम 30 वर्षों तक यह सज़ा काटनी होगी। पुलिस अधिकारी क्रिस ग्रेग ने कहा कि इस अस्पताल में इस नर्स की गतिविधि संदिग्ध थी। यह अस्पताल के स्टाफ की जागरूकता ही है कि इसे पकड़ा जा सका। पुलिस को यह पता चला है कि इस हत्या का उद्देश्य यह था कि नोरिस को बुजुर्ग व्यक्तियों के साथ काम करना पसंद नहीं था। इसके सभी शिकार बुजुर्ग कमज़ोर महिलाएं थीं। इन सभी को अस्पताल के स्टाफ के लिए बोझ समझा जा सकता था। ",P04,T1,9,T
2,"Families hit with increase in cost of living
British families have to cough up an extra £31,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills.",,"बढती महंगाई से प्रभावित परिवार
अंग्रेजी सरकार को 17 सालों में सबसे ज्यादा, यूरो 31,300 प्रति साल भोजन एवं ईंधन में खर्च करना पडा। पिछले कुछ सालों में शेयर मार्केट की दरें ऊचाईयां छू रही हैं। अनुमान यह लगाया जा रहा की यह और बढेगी, बैंक आफ इंग्लैंड के लिए ब्याज दरों में कमी करना मुश्किल है फिर भी मंहगाई और अर्थव्यस्था को काबू करने में लगा है। मामले को और बेकाबू करने के लिये, बढती कीमतें बढती आय से ऊपर हैं, खासकर उनके लिये जो स्वास्थ सम्बन्धी सेवाओं से जुडें हैं, वें जो सरकार से जुडे होकर भी लोगों की सेवा करते हुये महंगाई को झेल रहे हैं। ईंधन और भोजन के साथ साथ बिजली के बिलों से भी परेशानी है। हर 6 में से 5वें सप्लायर ने उपभोगता बिलों में बढत कर दी है। ",P16,T2,7,T
3,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).","समाजशास्त्र के एक अपेक्षाकृत नया शैक्षिक अनुशासन है. यह आधुनिकता की चुनौतियों के जवाब में जल्दी 19 वीं सदी में उभरा. बढ़ती गतिशीलता और प्रौद्योगिकीय अग्रिमों के लोगों की बढ़ती संस्कृति और समाज अपने से अलग करने के लिए जोखिम में हुई. इस जोखिम के प्रभाव विविध, लेकिन कुछ लोगों के लिए पारंपरिक मानदंडों और सीमा शुल्क के टूटने शामिल है और कैसे काम करता है दुनिया की एक संशोधित समझ warranted है. समाजशास्त्रियों को समझने के लिए क्या सामाजिक समूहों को एक साथ धारण और भी सामाजिक एकजुटता के टूटने के लिए संभव समाधान की खोज करने की कोशिश कर रहा द्वारा इन परिवर्तनों को जवाब दिया. अवधि समाजशास्त्र अगस्टे Comte (1798-1857) द्वारा 1838 में लैटिन शब्द (साथी, सहयोगी) socius के और ग्रीक शब्द logia (अध्ययन की, भाषण) से गढ़ा गया था.","समाजशास्त्र अपेक्षाकृत एक नया शैक्षिक अनुशासन है. यह आधुनिकता की चुनौतियों के जवाब में 19 वीं सदी के आरंभ में उभरा था. बढ़ती गतिशीलता और प्रौद्योगिकीय उन्नती के परिणामस्वरूप लोगों को अपनी संस्कृति और समाज से अलग संस्कृति और समाज की अधिक जानकारी मिली. इस जानकारी के प्रभाव विविध थे, लेकिन कुछ लोगों के लिए यह पारंपरिक मानदंडों और रिवीज़ों की क्षति थी है इसके लिए विश्व कैसे काम करता है इसकी एक संशोधित समझ की आवश्यकती है. सामाजिक समूहों को एक साथ रखने वाले घटक के बारे में समझने और सामाजिक एकजुटता के टूटने के संभावित समाधानों की खोज करने की कोशिश करके समाजशास्त्रियों ने इन परिवर्तनों का जवाब दिया है. समाजशास्त्र शब्द का सबसे पहले उपयोग अगस्टे कॅामटे (1798-1857) द्वारा 1838 में किया गया था जो कि लैटिन शब्द सोशियस (साथी, सहयोगी) और ग्रीक शब्द लोगिया (इसका अध्ययन, भाषण) से गढ़ा गया था.",P05,P5,6,P
4,"Spielberg shows Beijing red card over Darfur
In a gesture sure to rattle the Chinese Government, Steven Spielberg pulled out of the Beijing Olympics to protest against China's backing for Sudan's policy in Darfur. His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government. China, which has extensive investments in the Sudanese oil industry, maintains close links with the Government, which includes one minister charged with crimes against humanity by the International Criminal Court in The Hague. Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","स्पिएल्बेर्ग प्रदर्शन बीजिंग लाल कार्ड ओवर दार्फुर | में इक संकेत निश्चित तक खड़खड़ाहट चीनी सरकार स्टीवन स्पीलबर्ग चलाया हुआ में से बीजिंग ओल्य्म्पिक्स तक विरोध के विरुद्ध चीन का समर्थन के लिए सूडान का नीति में दार्फुर |His withdrawal comes in the wake of fighting flaring up again in Darfur and is set to embarrass China, which has sought to halt the negative fallout from having close ties to the Sudanese government.चीन में , जो सुदानेसे तेल उद्योग में प्रचुर पूँजी निवेश हैं सरकार से घनिष्ठ संबंध अनुरक्षण करता है जो थे हेग में इन्तेर्ंआशनल क्रिमिनल काउर्त के द्वारा मानवजाति के विरुद्ध अपराधों से भरा हुआ जाय एक मिनिस्तेर को शामिल करता है |Although emphasizing that Khartoum bears the bulk of the responsibility for these ongoing atrocities, Spielberg maintains that the international community, and particularly China, should do more to end the suffering.","

स्पिल्बर्ग ने दार्फुर में बीजिंग को लाल कार्ड दिखाया

चीनी सरकार को कड़ा संदेश देने कि लिए जाने माने फिल्मकार स्टीवन स्पीलबर्ग ने बीजिंग ओलंपिक में विरोध का नया तरीका निकाला....उन्होंने चीन की सूडान पालिसी का विरोध किया... उनका ये कदम चीन को परेशान करने वाला है....तेल उद्योग में पूँजी निवेश के मामले में सूडान सरकार ने चीन को नकारात्मक संदेश दिया है..दरअसल चीन ने सूडान के तेल क्षेत्र में भारी पूंजी निवेश कर रखा है...इसलिए चीन सूडान सरकार से निरंतर संपर्क बनाए हुए है...हेग स्थित अंतर्राष्ट्रीय न्यायलय ने मानवजाति के विरुद्ध अपराध करने के लिए एक मंत्री के खिलाफ केस दर्ज किया है...स्पीलबर्ग ने अंतर्राष्ट्रीय समुदाय से सुलह का रास्ता निकलवाने की अपील की है. उन्होंने चीन से आग्रह किया है कि परेशानी से निपटने के लिए चीन कुछ और अधिक काम करे....  ",P20,P3,5,P
5,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).","समाज विज्ञान एक अपेक्षाकृत नया﻿ शैक्षणिक अनुशासन है .यह आधुनिकता की चुनौतियों तक प्रतिक्रिया में जल्दी 19 शताब्दी में प्रकट हुआ . बढ़ता हुआ गतिशीलता और तकनीकी आगे बढ़ परिणत हो  बढ़ता हुआ प्रदर्शन की﻿ संस्कृति जीवाणु लोग और सोसाइटी भिन्न अपना स्वयं . प्रभाव के इस प्रदर्शन था परिवर्तित लेकिन के लिए कुछ लोग सम्मिलित खराबी का पारम्परिक मानक और प्रथा और वैध संशोधित समझ की कैसे  दुनिया कार्य . सोसायलोगिस्त्स ने कोशिश करके इन परिवर्तन से किन पकड़ से सामाजिक समझने की  उत्तर दिया और सामाजिक भाईचारे के ^﻿ खराबी के सम्भव समाधान | खराबी  के सम्भव समाधान को  भी अन्वेषण करता है . टर्म का समाज विज्ञान लातिन से 1838 में ऑगस्ट कॉम्टे के द्वारा टर्म सोसिउस साथी , सहायक , साथी और ग्रीकवासी टर्म लोगिआ भाषा का अध्ययन | भाषण का अध्ययन करिये .","समाज विज्ञान अपेक्षाकृत एक नया शैक्षणिक विषय है। यह आधुनिकता की चुनौतियों की प्रतिक्रिया में 19वीं शताब्दी के आरंभ में प्रकट हुआ। तेजी से बढ़ती हमारी गतिशीलता और तकनीकी तरक्की के परिणाम स्वरूप लोगों का अपनी विभिन्न संस्कृति और समाज में झुकाव वृद्धि हुई। इस झुकाव का प्रभाव भिन्न था, लेकिन कुछ लोग ऐसे शामिल थे, जिनमें पारंपरिक रीति, प्रथा की एक वैध संशोधित समझ थी कि दुनिया कैसे काम करता है। समाजशास्त्रियों ने इन परिवर्तन को समझने के लिए कोशिश की कि समाजिक ग्रुपों की साथ-साथ स्थिति क्या है और सामाजिक भाईचारे में आई खराबी के लिए एक उचित समाधान भी खोजने की कोशिश की। सोसोलाजी टर्म का अन्वेषण अन्वेषण आगस्ट काम्टे(1738-1857) द्वारा वर्ष 1838 में लेटिन सहायको औऱ ग्रीक टर्म अध्ययन से किया गया।",P10,P5,6,P
6,"Families hit with increase in cost of living
British families have to cough up an extra £31,300 a year as food and fuel prices soar at their fastest rate in 17 years. Prices in supermarkets have climbed at an alarming rate over the past year. Analysts have warned that prices will increase further still, making it hard for the Bank of England to cut interest rates as it struggles to keep inflation and the economy under control. To make matters worse, escalating prices are racing ahead of salary increases, especially those of nurses and other healthcare professionals, who have suffered from the government's insistence that those in the public sector have to receive below-inflation salary increases. In addition to fuel and food, electricity bills are also soaring. Five out of the six largest suppliers have increased their customers' bills.",,"परिवार बढ़ती महंगाई से प्रभावित हैं 
पिछले 17 वर्षों में खाद्य और तेल की कीमतें तेजी से बढ़ने के कारण ब्रिटिश परिवारों को अपने खर्च में प्रति वर्ष £31,300 की बढ़ोतरी से जूझना पड़ता है। बीते वर्षों में बड़े बाज़ारों में कीमते काफी ऊंची दरों पर पहुंच गई हैं। विशेषज्ञों ने यह चेतावनी दी है कि कीमतें अभी और बढ़ेंगी, जिससे महंगाई का सामना करते हुए अपनी अर्थव्यवस्था को नियंत्रण में लाने की कोशिश कर रहे बैंक ऑफ इंगलैंड को अपनी ब्याज दरें कम करने में कठिनाई आएगी। स्थिति को और खराब करते हुए, बढ़ती महंगाई की दर वेतन वृद्धि से अभी तेज़ है, विशेष रूप से नर्स और अन्य स्वास्थ कर्मचारियों के लिए जो बिना समुचित वेतन वृद्धि के इस सरकारी फैसले के अधीन हैं। तेल और खाद्य के अलावा बिजली के बिल भी बढ़ रहे हैं। छह बड़े आपूर्तिकर्ताओं में से पांच ने अपने ग्राहक बिल में वृद्धि की है। ",P04,T2,7,T
7,"Although developing countries are understandably reluctant to compromise their chances of achieving better standards of living for the poor, action on climate change need not threaten economic development. Incentives must be offered to encourage developing countries to go the extra green mile and implement clean  technologies, and could also help minimise emissions from deforestation. Some of the most vulnerable countries of the world have contributed the least to climate change, but are bearing the brunt of it. Developing countries, in particular, need to adapt to the effects of climate change. Adaptation and mitigation efforts must therefore go hand in hand.","हालांकि विकासशील देशों के लिए जलवायु परिवर्तन पर गरीब कार्रवाई, आर्थिक विकास को खतरा जरूरत नहीं है बेहतर जीवन स्तर को प्राप्त करने के अपने अवसरों को समझौता जाहिर करने के लिए अनिच्छुक रहे हैं. प्रोत्साहन के लिए विकासशील देशों को प्रोत्साहित करने के लिए अतिरिक्त हरी मील जाने के लिए और स्वच्छ प्रौद्योगिकी को लागू करने की पेशकश की जानी चाहिए, और भी मदद वनों की कटाई से उत्सर्जन को कम कर सकता है. कुछ दुनिया की सबसे कमजोर देशों के जलवायु परिवर्तन को कम से कम योगदान दिया है, लेकिन इसे का खामियाजा असर कर रहे हैं. विकासशील देशों, विशेष रूप में, जलवायु परिवर्तन के प्रभावों के लिए अनुकूलन की जरूरत है. अनुकूलन और शमन के प्रयासों इसलिए हाथ में हाथ जाना चाहिए.
","
विकासशील देशों के लिए जलवायु परिवर्तन पर कोई ठोस कार्रवाई,  आर्थिक विकास के खतरे को बढ़ावा नहीं देगी. विकासशील देशों को  अपने यहां की गरीब जनता को खुशहाल और बेहतर जीवन स्तर देने के लिए प्रोत्साहित करना चाहिए. इसके अलावा विकासशील देशों  के लिए अतिरिक्त हरी मील और स्वच्छ प्रौद्योगिकी को लागू करने के लिए प्रोत्साहित करना चाहिए ..इसके अलावा वनों की कटाई से हो रहे उत्सर्जन को कम करना चाहिए . दुनिया के कुछ सबसे कमजोर देशों ने जलवायु परिवर्तन पर कम से कम योगदान दिया है,  जिसका वे खामियाजा भुगत रहे हैं. विकासशील देशों को विशेष रूप से जलवायु परिवर्तन के प्रभावों के लिए अनुकूलन की जरूरत है. इसके लिए सभी देशों को हाथ मिलाकर जलवायु परिवर्तन पर बात करनी चाहिए.
",P20,P4,5,P
8,"Sociology is a relatively new academic discipline. It emerged in the early 19th century in response to the challenges of modernity. Increasing mobility and technological advances resulted in the increasing exposure of people to cultures and societies different from their own. The impact of this exposure was varied, but for some people included the breakdown of traditional norms and customs and warranted a revised understanding of how the world works. Sociologists responded to these changes by trying to understand what holds social groups together and also exploring possible solutions to the breakdown of social solidarity. The term sociology was coined by Auguste Comte (1798-1857) in 1838 from the Latin term socius (companion, associate) and the Greek term logia (study of, speech).","समाज विज्ञान एक अपेक्षाकृत नया﻿ शैक्षणिक अनुशासन है .यह आधुनिकता की चुनौतियों तक प्रतिक्रिया में जल्दी 19 शताब्दी में प्रकट हुआ . बढ़ता हुआ गतिशीलता और तकनीकी आगे बढ़ परिणत हो  बढ़ता हुआ प्रदर्शन की﻿ संस्कृति जीवाणु लोग और सोसाइटी भिन्न अपना स्वयं . प्रभाव के इस प्रदर्शन था परिवर्तित लेकिन के लिए कुछ लोग सम्मिलित खराबी का पारम्परिक मानक और प्रथा और वैध संशोधित समझ की कैसे  दुनिया कार्य . सोसायलोगिस्त्स ने कोशिश करके इन परिवर्तन से किन पकड़ से सामाजिक समझने की  उत्तर दिया और सामाजिक भाईचारे के ^﻿ खराबी के सम्भव समाधान | खराबी  के सम्भव समाधान को  भी अन्वेषण करता है . टर्म का समाज विज्ञान लातिन से 1838 में ऑगस्ट कॉम्टे के द्वारा टर्म सोसिउस साथी , सहायक , साथी और ग्रीकवासी टर्म लोगिआ भाषा का अध्ययन | भाषण का अध्ययन करिये .","समाज विज्ञान एक अपेक्षाकृत नया शैक्षणिक विषय है . यह आधुनिकता की चुनौतियों की प्रतिक्रिया स्वरूप 19 शताब्दी की शुरूआत में में सामने आया। बढ़ती हुई गतिशीलता और तकनीक में नए आविष्कार के परिणाम स्वरूप लोगों का दूसरी संस्कृति और समाज के लोगों से मेल-मिलाप बढ़ा। इस गतिविधि के प्रभाव भिन्न थे, लेकिन कुछ लोगों ने परांपरागत कार्यों और तौर तरीकों के विभाजन को इसमें शामिल किया और संपूर्ण संसार की संशोधित समझ को बढ़ाया। समाज विज्ञानियों ने यह समझने का प्रयास करते हुए कि वह क्या है जो समाज को बांधे रखता है और सामाजिक सुदृढ़ता के विभाजन की संभावित समाधानों को खोजते हुए इन परिवर्तनों पर प्रतिक्रिया दी। समाज विज्ञान शब्द लातिन से 1838 में ऑगस्ट कॉम्टे ने दिया था जिसका उद्गम शब्द सोसिउस (साथी , सहायक) , और ग्रीक शब्द लोगिआ (भाषा का अध्ययन) से हुआ है।",P04,P5,6,P
9,"The majority of hunter-gatherer societies are nomadic. It is difficult to be settled under such a subsistence system as the resources of one region can quickly become exhausted. Hunter-gatherer societies also tend to have very low population densities as a result of their subsistence system. Agricultural subsistence systems can support population densities 60 to 100 times greater than land left uncultivated, resulting in denser populations. Hunter-gatherer societies also tend to have non-hierarchical social structures, though this is not always the case. Because hunter-gatherers tend to be nomadic, they generally do not have the possibility to store surplus food. As a result, full-time leaders, bureaucrats, or artisans are rarely supported by hunter-gatherer societies.","अधिकतर शिकारी  गाथेरेर सोसाइटियाँ यायावर हैं . यह  व्यवस्थित अन्तर्गत ऐसी निर्वाह प्रणाली होने के लिये कठिन है क्योंकि एक के संसाधन जो क्षेत्र ने जल्दी से हो जा सकते हैं समाप्त किया . शिकारी  गाथेरेर सोसाइटियाँ भी अपना निर्वाह के सिस्टम का इसके परिणामस्वरूप बहुत निम्न जनसंख्या की सघनता  लेने के लिये झुकती हैं . कृषि निर्वाह की प्रणालियाँ जनसंख्या की सघनता 60 से 100 तक बार बड़ा सहारा दे सकती हैं बजाय कि भूमि गहन जनसंख्या को परिणत होती हुई अपरिष्कृत गई . शिकारी  गाथेरेर सोसाइटियाँ भी गैर  अधिक्रमिक सामाजिक ढाँचे लेने के लिये झुकती हैं , यद्यपि यह हमेशा केस नहीं है . क्योंकि शिकारी  गाथेरेर्स यायावर होने के लिये झुकता है , इसलिये उनमें सामान्यतः अतिरिक्त खाने का संग्रह करने की सम्भावना नहीं है . इसके परिणामस्वरूप , पूर्णकालिक नेता का नौकरशाह , या शिल्पी शिकारी  गाथेरेर सोसाइटियों के द्वारा कभी कभी सहारा दिया जाते हैं .","अधिकतर शिकारियों का समाज यायावर हैं . ऐसी प्रणाली में निर्वाह करना कठिन है जिसमें एक संसाधन के सूत्र जल्दी समाप्त हो जाएं.  शिकारी समुदाय का कम जनसंख्या घनत्व उनकी निर्वाह प्रणाली के कारण है.  कृषि निर्वाह की प्रणालियाँ जनसंख्या घनत्व को 60 से 100  गुना तक कर सकती हैं जो कि अनुपजाऊ भूमि को छोड़े जाने से कहीं ज्यादा है..जिसका परिणाम बढ़ी हुई जनसंख्या घनत्व के रुप में सामने आएगा . शिकारी समुदाय का सामाजिक स्वरुप क्रमबद्ध नहीं है , यद्यपि हमेशा ऐसा नहीं होता. क्योंकि शिकारी समाज यायावर के लिये झुकना जानता है, उनमें सामान्यतः अतिरिक्त खाने का संग्रह करने की सम्भावना नहीं होती.  इसके परिणामस्वरूप, पूर्णकालिक नेता, नौकरशाह, या कलाकार को शिकारी समुदाय बहुत कम समर्थन करते हैं .",P20,P6,7,P
