task_id,segment_count,participants,no_of_participants,task_type,avg_time_taken
P1,11,"['P02', 'P10', 'P05', 'P16', 'P18', 'P19', 'P17', 'P20']",8,P,982.5
P2,7,"['P15', 'P14', 'P09', 'P05', 'P21', 'P13', 'P08', 'P19', 'P06', 'P17', 'P07', 'P02']",12,P,1174.6666666666667
P3,5,"['P20', 'P21', 'P10', 'P11', 'P17', 'P01', 'P15', 'P04']",8,P,1271.625
P4,5,"['P20', 'P09', 'P03', 'P08', 'P15', 'P06', 'P14', 'P19', 'P04', 'P01']",10,P,930.3
P5,6,"['P05', 'P10', 'P04', 'P21', 'P01', 'P16', 'P17', 'P11', 'P07', 'P02', 'P18', 'P19']",12,P,1138.75
P6,7,"['P20', 'P02', 'P08', 'P07', 'P09', 'P10', 'P15', 'P04', 'P21', 'P01', 'P14']",11,P,1110.909090909091
T1,11,"['P04', 'P01', 'P07', 'P13', 'P15', 'P21', 'P09']",7,T,1257.5714285714287
T2,7,"['P16', 'P04', 'P01', 'P18', 'P20', 'P10', 'P12']",7,T,1078.7142857142858
T3,5,"['P05', 'P07', 'P08', 'P13', 'P19', 'P02']",6,T,1878.3333333333333
T4,5,"['P21', 'P10', 'P11', 'P16', 'P17', 'P02', 'P05']",7,T,1631.857142857143
T5,6,"['P20', 'P08', 'P06', 'P09', 'P14', 'P15']",6,T,1475.8333333333333
T6,7,"['P06', 'P11', 'P18', 'P19', 'P17', 'P12']",6,T,1133.6666666666667
